"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-57.1875","-12.0207996368408","300","27.148","19.111","9.3340878624","0.771566722864961","0.949915966965256","21.93417882",
"1/2/1979","-57.1875","-12.0207996368408","300","24.419","21.053","31.38913188","0.75927101515549","0.976245906265777","7.25495526",
"1/3/1979","-57.1875","-12.0207996368408","300","26.178","20.737","12.400822512","1.05592978343955","0.955577895784509","21.33",
"1/4/1979","-57.1875","-12.0207996368408","300","28.22","19.968","3.16886922","0.979850821481234","0.878964294814927","28.2872232",
"1/5/1979","-57.1875","-12.0207996368408","300","27.152","18.545","7.1153619984","0.745618600962791","0.937461947091526","25.28488332",
"1/6/1979","-57.1875","-12.0207996368408","300","31.08","17.647","4.1421874464","1.04117305012911","0.884012633564261","25.05892482",
"1/7/1979","-57.1875","-12.0207996368408","300","26.753","20.07","13.085747496","1.03067067054773","0.938316568566581","23.3314281",
"1/8/1979","-57.1875","-12.0207996368408","300","24.557","21.73","25.1655588","1.8266995939156","0.972116106334059","9.61875018",
"1/9/1979","-57.1875","-12.0207996368408","300","25.496","21.268","9.8928468","2.07220790320472","0.954217686092796","10.73401164",
"1/10/1979","-57.1875","-12.0207996368408","300","28.105","21.292","3.898431972","1.94064757059418","0.898599550059117","24.2950491",
"1/11/1979","-57.1875","-12.0207996368408","300","29.501","21.2","2.7714731328","1.51676644517504","0.87991569564086","20.2729509",
"1/12/1979","-57.1875","-12.0207996368408","300","26.735","20.802","10.0353213","1.14946141933156","0.951257539501876","24.6726",
"1/13/1979","-57.1875","-12.0207996368408","300","29.11","21.416","6.7926434544","0.91842531691839","0.94247667321986","13.2381594",
"1/14/1979","-57.1875","-12.0207996368408","300","26.665","21.569","12.981037104","1.08914069090064","0.948323572877314","15.7298022",
"1/15/1979","-57.1875","-12.0207996368408","300","27.13","22.089","6.524850744","1.29317847955944","0.943604521857713","18.11778768",
