"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-60.9375","-4.52731990814209","33","27.599","23.009","9.4842887472","0.747984049604261","0.956503255030636","18.15299568",
"1/2/1979","-60.9375","-4.52731990814209","33","28.959","22.358","9.0628616664","0.936424238584193","0.924911412915192","17.582346",
"1/3/1979","-60.9375","-4.52731990814209","33","26.393","22.651","11.4171978528","0.906247922010762","0.966907226463884","10.9252683",
"1/4/1979","-60.9375","-4.52731990814209","33","26.564","21.896","7.1359649568","0.65456053078768","0.963787224994866","14.77360998",
"1/5/1979","-60.9375","-4.52731990814209","33","32.102","22.47","4.2288772968","1.08164296752139","0.898425176036321","18.5544549",
"1/6/1979","-60.9375","-4.52731990814209","33","30.843","22.961","6.4304364024","0.960811621280852","0.896685007800774","23.1948612",
"1/7/1979","-60.9375","-4.52731990814209","33","27.361","22.265","6.210709956","0.825838466745452","0.944779369205692","15.6166866",
"1/8/1979","-60.9375","-4.52731990814209","33","26.55","22.947","3.452111784","0.589694152998035","0.962466343613744","7.34219928",
"1/9/1979","-60.9375","-4.52731990814209","33","26.432","22.128","14.5397198664","0.867953084676692","0.962115462505608","18.31849038",
"1/10/1979","-60.9375","-4.52731990814209","33","31.331","21.864","8.84914326","0.710919136928513","0.906403867618163","27.18163098",
"1/11/1979","-60.9375","-4.52731990814209","33","25.137","21.97","7.88869332","0.79666878562663","0.971170850448548","7.22064942",
"1/12/1979","-60.9375","-4.52731990814209","33","29.818","20.74","5.5137636576","1.06317539450019","0.919708963657116","23.53123026",
"1/13/1979","-60.9375","-4.52731990814209","33","28.086","22.227","4.1954044248","0.947236802151381","0.912503000810307","22.1731893",
"1/14/1979","-60.9375","-4.52731990814209","33","26.585","22.838","11.9682333","0.745551169000009","0.964229555445428","12.97563552",
"1/15/1979","-60.9375","-4.52731990814209","33","28.423","22.975","12.0454848","0.779933693323544","0.941684025561822","13.27095162",
"1/16/1979","-60.9375","-4.52731990814209","33","30.61","22.698","1.59988392","1.08243619643079","0.858458351719656","15.4191393",
"1/17/1979","-60.9375","-4.52731990814209","33","27.909","22.727","1.122665616","0.792636553109449","0.906677903802167","10.519533",
"1/18/1979","-60.9375","-4.52731990814209","33","30.883","22.281","3.58772256","0.660702858643974","0.888970901039006","14.73294924",
