,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind
1/6/1998,-37.5,36.407,282.0,-10.147399902343802,21.708000000000002,0.0549316584,3.6169004561907703,21.12828804,,0.524487322237955
2/5/1998,-37.5,35.573,282.0,-10.147399902343802,23.255,0.0,4.55274139015485,22.227298631999997,,0.586730752472198
3/7/1998,-37.5,35.115,282.0,-10.147399902343802,20.815,0.0,4.22329751104802,24.552390311999996,,0.580719076877147
4/6/1998,-37.5,35.304,282.0,-10.147399902343802,21.646,0.0,4.76160773502538,25.30940328,,0.6465915592087049
5/6/1998,-37.5,35.961999999999996,282.0,-10.147399902343802,20.225,0.0,3.6158047471558197,22.58612082,,0.645512481302425
6/5/1998,-37.5,27.531,282.0,-10.147399902343802,19.537,1.4556890664,3.62577522812006,12.69995796,,0.844356886248381
7/5/1998,-37.5,29.378,282.0,-10.147399902343802,16.505,0.0,3.8219623957524504,19.84894272,,0.75741761039582
8/4/1998,-37.5,30.551,282.0,-10.147399902343802,15.505,0.0,3.88261573882683,22.45589982,,0.718679710377505
9/3/1998,-37.5,30.305999999999997,282.0,-10.147399902343802,17.561,0.0,4.74177830641423,25.44120288,,0.6999043406874129
10/3/1998,-37.5,32.693000000000005,282.0,-10.147399902343802,18.721,0.0,5.1130267316071905,26.588416499999997,,0.6692579693892471
11/2/1998,-37.5,38.259,282.0,-10.147399902343802,21.79,0.0,4.8386656228306695,27.86342616,,0.5483236142213429
12/2/1998,-37.5,35.804,282.0,-10.147399902343802,23.47,0.090980496,3.6863322177351003,21.22593948,,0.515128869905929
1/1/1999,-37.5,33.741,282.0,-10.147399902343802,23.807,0.0,4.55008196290683,11.2343067,,0.514303870060981
1/31/1999,-37.5,35.421,282.0,-10.147399902343802,21.113000000000003,0.0,4.64536256420669,25.381864008,,0.5892468954350961
3/2/1999,-37.5,36.839,282.0,-10.147399902343802,21.969,0.0,4.515019410836,24.64638804,,0.5668478686141021
4/1/1999,-37.5,32.518,282.0,-10.147399902343802,20.997,2.255630436,4.57571440942262,25.98901938,,0.680151290763985
5/1/1999,-37.5,29.351,282.0,-10.147399902343802,19.959,2.20241628,3.3830052273847997,20.61550854,,0.8113693001984109
5/31/1999,-37.5,33.086999999999996,282.0,-10.147399902343802,17.569000000000003,0.0,3.0331262804543595,21.38051034,,0.655401707046397
6/30/1999,-37.5,29.503,282.0,-10.147399902343802,15.151,0.0,3.13723817550233,20.54862612,,0.770319525296967
7/30/1999,-37.5,20.178,282.0,-10.147399902343802,17.762,5.31807084,2.5038302831333,1.330368588,,0.9521484199899078
8/29/1999,-37.5,24.565,282.0,-10.147399902343802,18.188,0.523567332,3.50524099160175,8.42985378,,0.8476016486829029
9/28/1999,-37.5,29.135,282.0,-10.147399902343802,20.09,0.8883479304,4.2165137369603105,15.460483968,,0.7724473475043551
